ETAB_CODE,ETAB_NOM,ETAB_NOM_A,RSS_CODE,RSS_NOM,ADRESSE,CASE_POST,CODE_POSTA,MUN_CODE,MUN_NOM,CLSC_CODE,CLSC_NOM,MRC_CODE,MRC_NOM,RLS_CODE,RLS_NOM,RUIS_CODE,RUIS_NOM,STATUT_COD,MD_CONS_CO,MD_FINAN_C,DESIGN_MIN,INSTANCE,DATE_INCOR,LONGITUDE,LATITUDE,CHPSY,CHSGS,CHSLD,CLSC,CPEJ,CRDITED,CRDPA,CRDPM,CRDPV,CRDPL,CRJDA,CRMDA,CRD,DATE_MAJ
"16258899","Conseil cri de la santé et des services sociaux de la Baie James","CCSSS de la Baie James","18","Terres-Cries-de-la-Baie-James","Case postale 250"," ","J0M1E0","99814","Chisasibi","18011","Territoire Cri","993","Eeyou Istchee"," "," ","3","RUISSS Université McGill","1","2","1","0","N","2010-05-03",-78.89569854736328,53.78269958496094,"Non","Oui","Oui","Oui","Oui","Non","Non","Non","Non","Non","Oui","Non","Non","2026-03-23"
"11042686","Centre régional de santé et de services sociaux de la Baie-James","CRSSS de la Baie-James","10","Nord-du-Québec","312, 3e Rue"," ","G8P1N5","99025","Chibougamau","10014","Chibougamau-Chapais","991","Jamésie"," "," ","1","RUISSS Université Laval","1","2","1","0","N","2007-04-02",-74.35710144042969,49.91339874267578,"Non","Oui","Oui","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Oui","2026-03-23"
"11042918","Centre hospitalier de l'Université de Montréal","CHUM","06","Montréal","850, rue Saint-Denis"," ","H2X0A9","66023","Montréal","06324","Montréal - Centre-Ville","660","Montréal","0632","RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc","2","RUISSS Université de Montréal","1","2","1","1","N"," ",-73.55590057373047,45.510799407958984,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"11044088","Centre intégré de santé et de services sociaux des Îles","CISSS des Îles","11","Gaspésie–Îles-de-la-Madeleine","430, chemin Principal (Cap-aux-Meules)"," ","G4T1R9","01023","Les Îles-de-la-Madeleine","11211","Îles-de-la-Madeleine","010","Communauté maritime des Îles-de-la-Madeleine","1121","RLS des Îles-de-la-Madeleine","1","RUISSS Université Laval","1","2","1","0","O","2007-04-11",-61.86880111694336,47.3755989074707,"Non","Oui","Oui","Oui","Non","Oui","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"11045119","Centre intégré de santé et de services sociaux du Bas-Saint-Laurent","CISSS du Bas-Saint-Laurent","01","Bas-Saint-Laurent","355, boulevard Saint-Germain Ouest"," ","G5L3N2","10043","Rimouski","01151","Rimouski-Neigette","100","Rimouski-Neigette","0115","RLS de Rimouski","1","RUISSS Université Laval","1","2","1","0","N"," ",-68.54049682617188,48.44340133666992,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","Non","Oui","2026-03-23"
"11045127","Centre intégré universitaire de santé et de services sociaux du Saguenay – Lac-Saint-Jean","CIUSSS du Saguenay – Lac-Saint-Jean","02","Saguenay–Lac-Saint-Jean","305, rue Saint-Vallier"," ","G7H5H6","94068","Saguenay","02151","Saguenay","941","Saguenay","0215","RLS de Chicoutimi","1","RUISSS Université Laval","1","2","1","0","N"," ",-71.04000091552734,48.42129898071289,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","Non","Oui","2026-03-23"
"11045135","Centre intégré universitaire de santé et de services sociaux de la Capitale-Nationale","CIUSSS de la Capitale-Nationale","03","Capitale-Nationale","2915, avenue du Bourg-Royal"," ","G1C3S2","23027","Québec","03133","Beauport","230","Québec","0313","RLS de Québec-Nord","1","RUISSS Université Laval","1","2","1","0","N"," ",-71.21980285644531,46.85660171508789,"Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","2026-03-23"
"11045143","Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec","CIUSSS de la Mauricie-et-du-Centre-du-Québec","04","Mauricie et Centre-du-Québec","858, terrasse Turcotte"," ","G9A5C5","37067","Trois-Rivières","04151","Trois-Rivières","371","Trois-Rivières","0415","RLS de Trois-Rivières","2","RUISSS Université de Montréal","1","2","1","0","N"," ",-72.53710174560547,46.34280014038086,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","2026-03-23"
"11045150","Centre intégré universitaire de santé et de services sociaux de l'Estrie – Centre hospitalier universitaire de Sherbrooke","CIUSSS de l'Estrie – CHUS","05","Estrie","375, rue Argyll"," ","J1J3H5","43027","Sherbrooke","05151","Sherbrooke","430","Sherbrooke","0515","RLS de Sherbrooke","4","RUISSS Université de Sherbrooke","1","2","1","0","N"," ",-71.91510009765625,45.40420150756836,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","2026-03-23"
"11045168","Centre intégré universitaire de santé et de services sociaux de l'Ouest-de-l'Île-de-Montréal","CIUSSS de l'Ouest-de-l'Île-de-Montréal","06","Montréal","2400, boulevard des Sources, 2e étage"," ","H9R0E9","66097","Pointe-Claire","06111","Lac Saint-Louis","660","Montréal","0611","RLS de Pierrefonds - Lac Saint-Louis","3","RUISSS Université McGill","1","2","1","0","N"," ",-73.83370208740234,45.44860076904297,"Non","Oui","Oui","Oui","Oui","Oui","Non","Non","Non","Non","Oui","Non","Non","2026-03-23"
