INSTAL_COD,INSTAL_NOM,INSTAL_N_1,ETAB_CODE,ETAB_NOM,ETAB_NOM_A,RSS_CODE,RSS_NOM,ADRESSE,CASE_POST,CODE_POSTA,MUN_CODE,MUN_NOM,CLSC_CODE,CLSC_NOM,MRC_CODE,MRC_NOM,RLS_CODE,RLS_NOM,RUIS_CODE,RUIS_NOM,STATUT_COD,MD_CONS_CO,MD_FINAN_C,DESIGN_MIN,INSTANCE,DATE_INCOR,DATE_OUVER,LONGITUDE,LATITUDE,CHPSY,CHSGS,CHSLD,CLSC,CPEJ,CRDITED,CRDPA,CRDPM,CRDPV,CRDPL,CRJDA,CRMDA,CRD,DATE_MAJ
"12387692","CHSLD POLONAIS MARIE-CURIE-SKLODOWSKA","CHSLD POLONAIS MARIE-CURIE-SKLODOWSKA","11045200","Centre intégré universitaire de santé et de services sociaux de l'Est-de-l'Île-de-Montréal","CIUSSS de l'Est-de-l'Île-de-Montréal","06","Montréal","5655, rue Bélanger"," ","H1T1G2","66023","Montréal","06531","Rosemont","660","Montréal","0653","RLS de Hochelaga - Mercier-Ouest - Rosemont","2","RUISSS Université de Montréal","1","2","1","0","N"," ","1974-01-01",-73.57430267333984,45.58100128173828,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"12475976","HÔPITAL DU SACRÉ-COEUR-DE-MONTRÉAL","HÔPITAL DU SACRÉ-COEUR-DE-MONTRÉAL","11045192","Centre intégré universitaire de santé et de services sociaux du Nord-de-l'Île-de-Montréal","CIUSSS du Nord-de-l'Île-de-Montréal","06","Montréal","5400, boulevard Gouin Ouest"," ","H4J1C5","66023","Montréal","06411","Bordeaux-Cartierville","660","Montréal","0641","RLS du Nord de l'Île - Saint-Laurent","2","RUISSS Université de Montréal","1","2","1","0","N"," ","1978-10-19",-73.71399688720703,45.53260040283203,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"12934659","HÔPITAL MAISONNEUVE-ROSEMONT","HÔPITAL MAISONNEUVE-ROSEMONT","11045200","Centre intégré universitaire de santé et de services sociaux de l'Est-de-l'Île-de-Montréal","CIUSSS de l'Est-de-l'Île-de-Montréal","06","Montréal","5415, boulevard de l'Assomption"," ","H1T2M4","66023","Montréal","06531","Rosemont","660","Montréal","0653","RLS de Hochelaga - Mercier-Ouest - Rosemont","2","RUISSS Université de Montréal","1","2","1","0","N"," ","1974-01-01",-73.55850219726562,45.57419967651367,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"15103666","INSTITUT UNIVERSITAIRE DE GÉRIATRIE DE MONTRÉAL","INSTITUT UNIVERSITAIRE DE GÉRIATRIE DE MONTRÉAL","11045184","Centre intégré universitaire de santé et de services sociaux du Centre-Sud-de-l'Île-de-Montréal","CIUSSS du Centre-Sud-de-l'Île-de-Montréal","06","Montréal","4565, chemin Queen-Mary"," ","H3W1W5","66023","Montréal","06223","Snowdon","660","Montréal","0622","RLS de Côte-des-Neiges - Métro - Parc-Extension","3","RUISSS Université McGill","1","2","1","0","N"," ","1978-01-18",-73.6238021850586,45.49100112915039,"Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51216281","SERVICES PROFESSIONNELS - MRC MITIS","SERVICES PROFESSIONNELS - MRC MITIS","11045119","Centre intégré de santé et de services sociaux du Bas-Saint-Laurent","CISSS du Bas-Saint-Laurent","01","Bas-Saint-Laurent","1312, boulevard Jacques-Cartier"," ","G5H2T1","09077","Mont-Joli","01161","La Mitis","090","La Mitis","0116","RLS de La Mitis","1","RUISSS Université Laval","1","2","1","0","N"," ","1995-04-01",-68.1969985961914,48.59120178222656,"Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51216372","ATELIER DE TRAVAIL EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME DE SAINT-FÉLICIEN","ATELIER DE TRAVAIL DI ET TSA DE SAINT-FÉLICIEN","11045127","Centre intégré universitaire de santé et de services sociaux du Saguenay – Lac-Saint-Jean","CIUSSS du Saguenay – Lac-Saint-Jean","02","Saguenay–Lac-Saint-Jean","1441-B, boulevard Industriel"," ","G8K1W1","91042","Saint-Félicien","02111","Domaine-du-Roy","910","Le Domaine-du-Roy","0211","RLS du Domaine-du-Roy","1","RUISSS Université Laval","1","2","1","0","N"," ","1995-04-01",-72.45089721679688,48.64030075073242,"Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51216455","CENTRE DE RÉADAPTATION EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME DE TROIS-RIVIÈRES","CRDI-TSA DE TROIS-RIVIÈRES","11045143","Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec","CIUSSS de la Mauricie-et-du-Centre-du-Québec","04","Mauricie et Centre-du-Québec","920, place Boland"," ","G8Z4H2","37067","Trois-Rivières","04151","Trois-Rivières","371","Trois-Rivières","0415","RLS de Trois-Rivières","2","RUISSS Université de Montréal","1","2","1","0","N"," ","1995-04-01",-72.58090209960938,46.34120178222656,"Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51216463","CENTRE D'ACTIVITÉS DE JOUR EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME BOLAND","CENTRE ACT. DE JOUR DI ET TSA BOLAND","11045143","Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec","CIUSSS de la Mauricie-et-du-Centre-du-Québec","04","Mauricie et Centre-du-Québec","1000, place Boland"," ","G8Z4H2","37067","Trois-Rivières","04151","Trois-Rivières","371","Trois-Rivières","0415","RLS de Trois-Rivières","2","RUISSS Université de Montréal","1","2","1","0","N"," ","1995-04-01",-72.5802993774414,46.3401985168457,"Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51216489","CENTRE D'ACTIVITÉS DE JOUR EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME DE LA FONTAINE","CENTRE ACT. DE JOUR DI ET TSA DE LA FONTAINE","11045143","Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec","CIUSSS de la Mauricie-et-du-Centre-du-Québec","04","Mauricie et Centre-du-Québec","1485, place de la Fontaine"," ","G8Y2S9","37067","Trois-Rivières","04151","Trois-Rivières","371","Trois-Rivières","0415","RLS de Trois-Rivières","2","RUISSS Université de Montréal","1","2","1","0","N"," ","1995-04-01",-72.58460235595703,46.357601165771484,"Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51216521","CENTRE DE RÉADAPTATION EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME DE BÉCANCOUR","CRDI-TSA DE BÉCANCOUR","11045143","Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec","CIUSSS de la Mauricie-et-du-Centre-du-Québec","04","Mauricie et Centre-du-Québec","1582, boulevard de Port-Royal"," ","G9H1X6","38010","Bécancour","04162","Bécancour","380","Bécancour","0416","RLS de Bécancour–Nicolet-Yamaska","4","RUISSS Université de Sherbrooke","1","2","1","0","N"," ","1995-04-01",-72.54190063476562,46.29249954223633,"Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
